0 	0
1 	0.999
2 	0.998
3 	1.047
4 	1.046
5 	1.095
6 	1.094
7 	1.093
8 	1.092
9 	1.091
10 	1.14
11 	1.189
12 	1.188
13 	1.187
14 	1.186
15 	1.185
16 	1.184
17 	1.183
18 	1.182
19 	1.181
20 	1.18
21 	1.179
22 	1.178
23 	1.227
24 	1.226
25 	1.275
26 	1.274
27 	1.323
28 	1.372
29 	1.371
30 	1.37
31 	1.419
32 	1.418
33 	1.417
34 	1.416
35 	1.415
36 	1.464
37 	1.463
38 	1.562
39 	1.561
40 	1.56
41 	1.659
42 	1.658
43 	1.657
44 	1.656
45 	1.655
46 	1.704
47 	1.703
48 	1.702
49 	1.701
50 	1.7
51 	1.699
52 	1.698
53 	1.697
54 	1.696
55 	1.695
56 	1.694
57 	1.693
58 	1.692
59 	1.691
60 	1.69
61 	1.739
62 	1.738
63 	1.837
64 	1.836
65 	1.835
66 	1.834
67 	1.883
68 	1.882
69 	1.881
70 	1.88
71 	1.879
72 	1.928
73 	1.927
74 	1.926
75 	1.925
76 	1.924
77 	1.923
78 	1.922
79 	1.921
80 	1.92
81 	1.919
82 	1.918
83 	1.917
84 	1.916
85 	1.915
86 	1.964
87 	1.963
88 	1.962
89 	1.961
90 	2.01
91 	2.009
92 	2.008
93 	2.007
94 	2.006
95 	2.005
96 	2.004
97 	2.003
98 	2.002
99 	2.001
100 	2
101 	1.999
102 	2.048
103 	2.047
104 	2.046
105 	2.045
106 	2.044
107 	2.043
108 	2.042
109 	2.041
110 	2.04
111 	2.039
112 	2.038
113 	2.037
114 	2.036
115 	2.035
116 	2.034
117 	2.033
118 	2.032
119 	2.031
120 	2.03
121 	2.029
122 	2.028
123 	2.027
124 	2.026
125 	2.025
126 	2.024
127 	2.023
128 	2.022
129 	2.021
130 	2.02
131 	2.069
132 	2.068
133 	2.067
134 	2.066
135 	2.065
136 	2.064
137 	2.113
138 	2.112
139 	2.111
140 	2.11
141 	2.109
142 	2.108
143 	2.107
144 	2.106
145 	2.105
146 	2.104
147 	2.103
148 	2.152
149 	2.151
150 	2.15
151 	2.149
152 	2.148
153 	2.147
154 	2.146
155 	2.145
156 	2.144
157 	2.143
158 	2.142
159 	2.191
160 	2.19
161 	2.189
162 	2.188
163 	2.187
164 	2.186
165 	2.185
166 	2.184
167 	2.183
168 	2.182
169 	2.231
170 	2.23
171 	2.229
172 	2.278
173 	2.277
